Accounting Variable,2020-12-31,2021-12-31,2022-12-31,2023-12-31,2024-03-31,2024-06-30,2024-09-30,2024-12-31,2025-03-31
Revenue,19207800000.0,23222900000.0,23182600000.0,25493700000.0,6169000000.0,6490000000.0,6873000000.0,25920000000.0,5956000000.0
OperatingIncome,7324000000.0,10356000000.0,9371000000.0,11646700000.0,2736000000.0,2920000000.0,3188000000.0,11712000000.0,2648000000.0
Equity(BV),-7824900000.0,-4601000000.0,-6003400000.0,-4706700000.0,-4833000000.0,-4824000000.0,-5177000000.0,-3797000000.0,-3454000000.0
ShortTermDebt(BV),0.0,0.0,0.0,2192400000.0,0.0,0.0,0.0,0.0,0.0
LongTermDebtWithoutLease(BV),35196800000.0,35622700000.0,35903500000.0,37152900000.0,36764000000.0,38524000000.0,38990000000.0,38424000000.0,38845000000.0
LongTermLease(BV),0.0,0.0,0.0,0.0,0.0,0.0,0.0,12888000000.0,0.0
LongTermDebt(BV),35196800000.0,35622700000.0,35903500000.0,37152900000.0,36764000000.0,38524000000.0,38990000000.0,51312000000.0,38845000000.0
Debt(BV),35196800000.0,35622700000.0,35903500000.0,39345300000.0,36764000000.0,38524000000.0,38990000000.0,51312000000.0,38845000000.0
Cash,3.4,4.7,2583800000.0,4579300000.0,838000000.0,792000000.0,1221000000.0,1085000000.0,1238000000.0
Tax,1410200000.0,1582700000.0,1648000000.0,2053400000.0,479000000.0,533000000.0,588000000.0,2121000000.0,461000000.0
LeaseDueThisYear,0.0,0.0,0.0,0.0,0.0,0.0,0.0,636000000.0,0.0
LeaseDueYearOne,1230700000.0,1205700000.0,1161600000.0,1126300000.0,0.0,0.0,0.0,1087000000.0,0.0
LeaseDueYearTwo,1197700000.0,1173500000.0,1134400000.0,1093700000.0,0.0,0.0,0.0,1042000000.0,0.0
LeaseDueYearThree,1159800000.0,1138500000.0,1096200000.0,1046200000.0,0.0,0.0,0.0,1013000000.0,0.0
LeaseDueYearFour,1124000000.0,1098900000.0,1041800000.0,1018100000.0,0.0,0.0,0.0,972000000.0,0.0
LeaseDueYearFive,1082100000.0,1043700000.0,1003300000.0,981100000.0,0.0,0.0,0.0,939000000.0,0.0
LeaseDueAfterYearFive,14295700000.0,13784700000.0,12799500000.0,12132200000.0,0.0,0.0,0.0,10897000000.0,0.0
NetIncome,4730500000.0,7545200000.0,6177400000.0,8468800000.0,1929000000.0,2022000000.0,2255000000.0,8223000000.0,1868000000.0
